description,Department
air ticketing executive good communication skill,Ticketing
arsenius skill capital hiring asst manager business analyticsnbsplocation bangalorenbspctc lac panbspindustry corporate amp business travelnbspnbspnbspmanages team business data analyst use business data statistical method provide insight business performance suggest area method improving operationsimplements oversees analytical approach methodology present insight recommendation management decision making strategic planningcontrols develops internalexternal information source business analysismanages subordinate staff daytoday performance job true first level managerensures projectdepartment milestonesgoals met adhering approved budgetshas full authority personnel action extensive knowledge department processestypically requires yearsrsquo experience related area year supervisory experience requiredif solid industry experience wersquod like meet youyour goal help business use data drive high performance qualityjob briefnbspwe looking business analytics manager organize analytics function manage team analyst implement tool strategy translate raw data valuable business insightsin role expect strong logical reasoning skill business intelligence ability communicate effectively essentialnbspresponsibilitiesmiddot understand business need objectivesmiddot develop strategy effective data analysis reportingmiddot define companywide metric relevant data sourcesmiddot select configure implement analytics solutionsmiddot lead develop team data analystsmiddot oversee analytics operation correct discrepancy ensure qualitymiddot extract report multiple source operation customer feedbackmiddot build system transform raw data actionable business insightsmiddot apply industry knowledge interpret data improve performancemiddot keep abreast industry news trendsnbsprequirementsmiddot proven experience analytics manager data scientistmiddot solid experience data analysis reporting industry experience plusmiddot background market research project managementmiddot knowledge excel sql familiarity business intelligence tool tableau sasmiddot bachelor degreenbspinterested applicant call angee email resume operation management multiple intelligence industry reporting report research system tool business analysis strategic project planning data market insight,Analytics
arsenius skill capital hiring client relation managersnbsplocation delhi mumbai bangalorenbspctc lac panbspindustry corporate amp business travelnbspposition customer relationship management crm amp implementationnbspjob summaryresponsible managing aspect assigned client account include limited client retention contract negotiation implementation business consolidation sale product service financials budget billing payment profitability business planning review establishing relationship key decision maker multiple region staff development business continuance escalation operational issuesnbspessential duty responsibility establish amp maintain relationship responsible overall relationship client multinational level establish maintain relationship key customer decision maker level within customer organization including introduction company travel senior management customer establish maintain relationship within company travel owned partner affiliate achieve result customer develop maintain strategic supplier relationship build internal network department regional leader key support team member accomplish goal initiative benefit client company responsible coordination central communication across region company travel client initiative interest demonstrate communicate value company travel provides client umbrella policy implementation communication region including budget slas etc develop business plan implement key deliverable measure result formulate manage multinational business plan client goal increasing revenue decreasing cost better utilizing asset reducing risk client attrition develop working client company travel team identify shortterm longterm objective travel program outline solution achieve objective including measurement timeline implement create action plan implement program objective action timeline measure report result put place tracking reporting objective indicator account review plan execute quarterly business review plan annual strategic business review create action deficienciesnbspnew client implementation responsible implementing new client client acquired sale team implementation tracker regular implementation callsmeetings done client accordance agreed implementation plan driving implementation process help various support team like operation technology finance others communication update client implementation stakeholder post completionnbspservice level agreement slas andor key performance indicator kpis develop develop service level agreement service financial management information report mi program performance technology communication indicator applicable measure report put place tracking reporting indicator create manage business improvement plan required crisis management responsibility plan toolsnbspfinancial create manage budget financials includes billing payment amp profitability overall responsibility profitability contract responsible consolidated financial reporting customer needed increase revenue upsell crosssell product service meet client need negotiate financial term client agreement ensure company travel billing everything allowed agreement ensure client paying accordance agreementnbspnegotiations negotiate client contract term manage contractual term upsell crosssell product service meet client need introduce consulting service enhance programnbspoperational amp global reporting requirement owner overall service delivery strategy identifies opportunity use global technology tool new process communicates customer operation requirement owned partner affiliate servicing location escalates operational issue without personally taking responsibility solving issue develops business continuance plan work client establish reporting requirement method work global cd ensure company travel country providing required data within agreed delivery timenbspsecondary duty amp responsibility working supplier relation evaluate success client preferred supplier program ass recommend area improvement create execute survey present survey result support program requirement plan global traveler satisfaction survey seek internal external information ensure clear understanding client dynamic company travel solution organize prepare andor participate customer eventstraining seminar appropriatenbspqualifications year corporate travel industry experience account management management role experience implementing amp managing large market global client thorough knowledge business travel account operation management thorough knowledge travel industry amp travel technology ability travel required client portfoliointerested applicant call angee ndash share resume negotiation management reporting slas kpi crm expansion relationship revenue global relation spend management manager client relation customer relationship key account management supplier overseas corporate coordination client servicing,Ticketing
handling client query concernshandling visa application countriescoordinating client phone emailsresolving issue client may havehandling escalation clientsmeeting clientsproviding appropriate guidance client make case stronger visadesired candidate profileexcellent verbal written english skillsgood coordination client worker excellent follow process visa processing visa documentation immigration,Customer service
job descriptionmiddot maintaining sale promotion company aggressive market selling air nonair product bbmiddot meeting travel agent bring new account regular basis various citiesmiddot managing existing travel agent account generating regular revenue themmiddot manage amp drive multicity sale team target planning distribution amp trackingmiddot expertise sale environment navigating corporate process amp dealing admin manager purchaseprocurement team hrmiddot monitor report marketing activity provide relevant management informationmiddot aggressive convert sale amp achieve targetsmiddot ready travel daily basis drive salesmiddot maintain excellent relationship client able tailor product pitch according specificationqualifications skillsmiddot year experience sale travel industrymiddot prefer candidate experience sale travel agency company management marketing industry sale selling account channel sale,Sales
otm automation agent otm kflows otm configuration,IT
job descriptionnbspsend job like thisyour profession high demand overseasif want move permanently canada australia skilled amp family visa job assistance servicesyou may apply job call check eligibilitycontact nbsp salaryusdnbsp retail marketing retail store customer service business planning retail consulting business development account mining retail banking sale management,Sales
arsenius skill capital hiringnbspbb sale channel sale agency saleslocationmumbaijob descriptionqualifications skillsnbspinterested candidate send resume call sale franchise sale institutional travel agency corporate sale channel,Ticketing
send job like thisyour profession high demand overseasif want move permanently canada australia skilled amp family visa job assistance servicesyou may apply job call check eligibilitynbspcontact salaryusdnbsp,Sales
send job like thisrestaurant food service manager restaurant food service manager plan organise direct control evaluate operation restaurant bar cafeteria food beverage servicessalaryusdnbsp bonus perk amp commissionsindustryfmcgnbspnbspfoodsnbspnbspbeveragefunctional areahotelsnbspnbsprestaurantsrole categorysenior managementroleheadvppublic relationscorporate communicationemployment typepermanent job full timenbspnbsp operation communication management beverage,Operations
arsenius skill capital hiring fornbspbusiness analytics managerlocationbangalorereports tobusiness headindustrycorporate travelnbspjob briefwe looking business analytics manager organize analytics function manage team analyst implement tool strategy translate raw data valuable business insight role expect strong logical reasoning skill business intelligence ability communicate effectively essentialresponsibilitiesrequirementsnbspinterested candidate send resume call business system analysis business analysis,Sales
require house driver qatarnbspshould qatar lisence nbspvalid unvalid license nbspwill dorequire passport copypassport photowith white backgroundnbsp house driver,Ticketing
dear candidate good opening techsales executive nbspdetails profile tour consultant ndash ticketing sale domestic internationalnbspno candidate required nbspdesirable qualificationpayouts job descriptionto call client know requirementto search fare portal gd per requirementto provide best fare clientto issue ticket portalse mail ticket clientscoordinate client payment alsonbsp telesales gd tele caller client support domestic calling outbound tour domestic ticketing digital sale sale telecommunication outbound sale fare fare ticketing international ticketing,Ticketing
examine accounting record prepare financial statement reportsdevelop maintain cost finding reporting internal control proceduresmay act trustee bankruptcy proceedingsfor detail amp help call plus benefitsndustryaccountingnbspnbspfinancefunctional areaaccountsnbspnbspfinancenbspnbsptaxnbspnbspcompany secretarynbspnbspauditrole categoryaccountsroleaccountsnbspexecutiveaccountantemployment typepermanent job full time auditing tax budget account planning management account payable industrial dispute plant design,Finance
plan direct evaluate operation establishment engaged wholesale retail sale department establishmentsplan budget authorize expendituresresolve customer complaintsfor detail amp help call plus benefitsindustryfmcgnbspnbspfoodsnbspnbspbeveragefunctional areasalesnbspnbspretailnbspnbspbusiness developmentrole categoryretailnbspsalesroleretail store manageremployment typepermanent job full time operation retail sale,Sales
accountant plan organise administer accounting system individual establishment articulating student accounting firm included unit groupsalaryusdnbsp pacall inquiry nbsp industryaccountingnbspnbspfinancefunctional areaaccountsnbspnbspfinancenbspnbsptaxnbspnbspcompany secretarynbspnbspauditrole categoryaccountsroleaccounts manageremployment typepermanent job full timenbsp audit accounting system finance,Finance
logistics distributionnbspmanagersnbsporganise storage distribution good role ensure right product delivered right location time good costsalaryinrnbsp paindustrycouriernbspnbsptransportationnbspnbspfreightnbspnbspwarehousingfunctional areasalesnbspnbspretailnbspnbspbusiness developmentrole categoryretail salesroleretail storenbspmanageremployment typepermanent job full timecall inquiry distribution storage sale warehousing development business,Logistics
communication mi management documentation vendor guest skill house travel satisfaction desk reservation ticket coordination booking,Ticketing
excellent selling customer service skill good ganizational skill,Ticketing
marketing exceptional customer service sale skill,Sales
travel consultant office administrat,Ticketing
customer service skill iata ticketing,Ticketing
proper credit check cashing,Administration
reservation pbx agent,Ticketing
customer service operate safety emergency equipment,Administration
basic concept accounting general knowledge quick book pro must well experience running front office manufacturing environment ideal candidate excellent communication organizational skill customer service job duty include limited payroll government remittance hst foreign exchange exporting document excel word reception invoicing bank reconciliation order processing training office manual available reconciliation remittancesor government excelor documentsor hstor foreign payrollor exchangeor exporting invoicingor wordor receptionor bank,Administration
strong excel access vba skill,Analytics
effective communication skill attending switchboard incoming call,Administration
issue reissue exchange refund ticket using sabre,Ticketing
book ticket package communicate supplier,Sales
front desk guest relation,Administration
accounting tds,Finance
java xml wsdl websphere ibm datapower soap,Sales
strong verbal written communication skill,Management Consulting
looking male female groundstaff delhi airport terminal amp airport operationscall telephonic round interview hot linespassport recent police verification musteligibility criteriagood spoken english requiredgradundergradnbspexcellent communication skillswilling work shift rotational daynight shiftsshift timing day working weekoff age year male femaledirect metro connectivity delhi airport easy safe route cab given companyfresher year experiencesalary overtime annual bonus uniformno aviation hospitality course require fresher applythe job description followsmust directly fully responsible providing effective efficient service airline passengersshould well conversant detail arrivalsdepartures commitment met shift like travel vipcip dignitariesassist supervisor manager administration operation ground handlingshould monitor delay disruption diversion flightsshould keep managersupervisor posted accurate complete information operational incidentsdevelopmentsto ensure proper queue management counter maintain hassle free environmentend end solution passenger create hassle free experience airportfor interview datescall hotel lineswhatsapp drop cv wwwcareerinnovatorscomcorporate officecareer innovator pvt ltd corporate tower flr opp metro pillar yes bank near dwarka mor metro stationimportant note authorized consultant lot company india dubai hence charge placement charge job free recruitment wwwcareerinnovatorscom thank making consultant wwwcareerinnovatorscom aviation airline ticketing bpo sale customer handling center service frankfinn fresher person airport call international ground staff ground,Airline Ground Operations
greeting akkam immigration allied servicesroles responsibilitieskeep front desk tidy presentable necessary material pen form paper etcgreet welcomenbspclientsmaintain register excel walkins client well versed officeanswer question address complaintsanswer incoming call redirect keep messagesreceive letter package etc distribute themprepare outgoing mail drafting correspondence securing parcel etccheck sort forward emailsmonitor office supply place order necessarykeep updated record filesmonitor office expense coststake duty assigned travel arrangement schedule etcrequirementsproven experience front desk representative year immigration industryfamiliarity office machine fax printer etcknowledge office management basic bookkeepingproficient english oral writtenexcellent knowledge office especially excel wordstrong communication people skillsgood organizational multitasking abilitiesproblemsolving skillscustomer service orientationpleasing personalityplease send profile office front office management front office operation receptionist activity desk front receptionist,Administration
dear candidatesat uniquetravelite service looking fresher professionalsstudents housewife freelancer good public relation internet friendlyno targetnbspno pressureno bossno fixed timenbspfeel free call usnbspsweta sharmasr recruiter marketing sale advertising planing full recruiter digital mba bba graduate part time post,Digital Marketing
post office assistant femalelocation swargate punequalification graduateexperience yearssalary depend upon experiencekindly find company detailwadalas belowname corporate natraj travelsno employee weekly per company rulesbonus per company rulespf per company rulesmediclaim per company rulescl monthsappraisal per performance regular intervalsdistance station min walking distanceemployees rating star starts_ rating given employee currently working company _nbspwe permanent job opening call back immediately email immediately assistant office back office operation,Data entry
need female travel companyjob location north kolkata maniktalarequired femalecandidate knowledge basic computer word amp excelknowledge mailclient coordinatehotel bookingcandidates smart good looking presentablesalary kfresher experiencenbspaddress bus stop sinthi roadbaranagar darjipara dutta road kolkata time pmnbspcarry resume amp photocontact person soumitanbspinterested candidate immediate contact detailsit urgentnbspvacancyvacancy femalemale requirednbspfor marketing companynbsp mail basic coordinate hotel booking client computer,Customer service
hiring travel processnon voice processokhla locationtravel knowledge must sabre worldspangraduates undergradshotels flight reservationsboth side cabscal get alignedjasleen else share resume worldspan sabre international voice hotel booking travel process bpo,Ticketing
require house driver qatarvalid invalid licensepassport copy passport photo white backgroundmax year min yrsage limit yr house driver,Ticketing
fresh house driverfor placement saudi arabiaecr ecnr passport dowakala readycandidate smokemust knw google mapnbspage limit till nbsp fresh driver house,Ticketing
maintain expand business assigned areamiddotnbspnegotiate agreement resolve potential issue problem client travel agentsmiddotnbspexpands existing current customer base recognizing involving top travel agent within areamiddotnbspdevelop business plan maximize revenuesmiddotnbspcreate awareness product service area magnify market influence generate future salesmiddotnbspprepare monitor control budget ensure compliance set targetsmiddotnbspstudy market condition pinpoint new break prospect possible threat sale airline airline sale travel sale,Sales
admin assistant communication skill,Administration
dear candidateswe looking forparttime fulltime customer support individual help may continue regular job amp still work usno targetsno work pressurefeel free call usesther recruiternbspnbsp marketing support retail sale customer full mba fresher office surfing retire internet bba graduate time computer experience student digital operator part housewife post,Public Relations 
job briefwe looking travel consultant great enthusiasm traveling responsible promoting booking traveling arrangement client individual business goal enhance satisfaction acquire expanding dedicated clienteleresponsibilitiesresearch various destination mean travel regarding price custom weather condition review etcdiagnose clientsrsquo specification wish suggest suitable travel package servicesorganize travel beginning end booking ticket accommodation securing rental transportation etcsupply traveler pertinent information usefulnbsptravelholiday materialnbspguides map event program etccollect deposit balancesuse promotional technique prepare promotional material sell itinerary tour packageshandle unforeseennbspproblems complaintsnbspand determine eligibilitynbspfor money returnsattend conferencesnbsptonbspmaintain familiarity tourism trendscreate update electronic record clientsmaintain relationship key personskeep financial statement documentsreach revenue profit targetsrequirementsproven working experience travel consultantexcellent knowledge traveling software computer reservation system gd system etravelproficiency english knowledge additional language advantageexemplary sale skill customer oriented approachwell versed various area travel domesticinternational businessholidays groupindividual etcability present persuade communicate effectivelydemonstrable ability handle crisesdegree hospitality travel tourism business relevant fieldcandidates personal travel experience preferred gd tourism sale outbound tour consultant travel hotel tour holiday package package booking travel agent activity,Presales 
company website wwwedterracombackground preferredmiddot must minimum year field sale experience travel education sale banking insurance recruitment sale etcmiddot responsible business acquisition existing new client selling innovative range student travel service premier school per targetsmiddot make powerful presentation student teacher principal management increase enrolmentsalary salary competitive commensurate prevailing industry standardscompany edterra edventureslocationmumbaifurthers detail call sonal management industry sale selling mouse education acquisition field school sale institutional sale,Ticketing
dear candidatenbsppack holiday pvt ltd hiring candidate experience travel industry outbound travel amp domestic travelcandidates minimum year experience handling outbound amp domestic holiday package preferredinterested candidate willing take multiple responsibility including travel consultation trip planning client order reservation etcnbspdesired profile must good selling skill work team helping team memberstarget oriented highly responsible dedicated nbspnbspexperience yearsnbspsalaryupto laks selling itinerary travel sale outbound tour leisure international tour holiday package domestic tourism,Sales
good communication comprehension skill written verbalemail processcandidates experience reservation ticketingshould gd knowledgeiata diploma tour amp travel course mandatoryability multi taskshifts timing home drop availabletyping speed word per minute communication iata gd ticketing typing reservation,Back office ticketing
postnbspcounter stafflocationnbsp ahmedabadqualification graudatenbspsalary depend upon experiencekindly find company detailwadalas belowname corporate shreeji holidaysno employee weekly per company rulesbonus per company rulespf per company rulesmediclaim per company rulescl monthsappraisal per performance regular intervalsdistance station min walking distanceemployees rating star starts_ rating given employee currently working company _nbspwe permanent job opening call back immediately nbspnbspor email immediately iata counter sale counter holiday pack back office support staff,Sales
secretarial activity company secretary company executive assistant company executive secretary,Administration
hotel management guest service guest relation management flo flo delivery flo transition manager,Administration
sale business development,Marketing
travel councell communication skill,Ticketing
sale marketing sale manager,Sales
business development sale marketing,Sales
ist flower arrangeent gift wrapping,Administration
automation plc technician,Maintenance
food beverage,Administration
sale retail business development,Sales
ate planning consulting strategy,Management Consulting
piping supervis welding supervis,Maintenance
autocad product design draftsman activity,Maintenance
industrial technician,Maintenance
health safety environmental training,Maintenance
engineer data entry warehouse technician,Maintenance
cathodic protection system design,Maintenance
iti electrical electricals diploma,Maintenance
management,QA 
building construction civil engineering,Maintenance
checking maintenance condenser chiller pump,Maintenance
proposal engineering proposal engineering tendering,Maintenance
electricals electrical,Maintenance
project operational procedure,Engineering Design Construction
scada sat ladder,Maintenance
hindi english knowledge marathi,Ticketing
ensure proper selling technique strategy utilized maximize room revenue coordinate duty responsibility reservation department ensuring high level accuracy efficiency matter may effect interest hotel brought attention management plan amp prepare forecast timely basis review plan amp prepare monthly report forecast relevant report ensure various monthly statistical report generated assist development occupancy forecast annual budget basis prepare timely review forecast plan,Ticketing
excellent communication skill,Ticketing
management bpo operation inbound reservation travel hotel agency travel agency operation process agent tour operation frontdesk,Ticketing
export clerk work good moving country receive monitor process daily freight movement export clerk job involves ensuring correct paperwork place shipment exportersany interested candidate submit hisher resume email operation clerk export,Procurement
requirment driverjob location gurugramsalary kover timeworking hour licence required,IT
ready travelling tricity area team company expensespresentation customergood communication skillsnbspnbsp communication presentation skill,Marketing
amp graduate male amp femalegood communication skillsnbspnbspanalytical problem solving skillswilling learn new thing adapt per organization communication good personality,Customer service
job profile travelnbspconsultantto call client know requirementto search fare portal gd per requirementto provide best fare clientto issue ticket portalse mail ticket clientscoordinate client payment alsomale femalemin graduateexp yr industrynbspnbspnbsp management consultant travel travel management ticket booking,Ticketing
business development market development client acquisition client servicing marketing business development manager,Sales
branch manager branch head assistant branch manager,Sales
websitesw fast faced environment ability multitasking,Ticketing
post accountant femalelocationnbspkandivali mumbaiqualification nbspbcomexperience yearssalary depend upon experiencekindly find company detail belowname corporate season tour amp travelsno employee nbsp weekly per company rulesbonus per company rulespf per company rulesmediclaim per company rulescl monthsappraisal per performance regular intervalsdistance station min walking distanceemployees rating star starts_ rating given employee currently working company _nbspwe permanent job opening call back immediately email immediately accountant account,Finance
nbspdesired candidate profileknowledgenbspdomestic travel marketkey skill good communication skill presentable amp hard workingnbspcandidates travel industry need apply communication skill good hard working presentable,Sales
sale international travel holiday package,Sales
dear candidatenbspwe opening business development manager noida officerole responsibilty identifying new sale lead researching organisation individual online especially social medium identify new lead potential new marketsnbspresearching need company learning make decision purchasing contacting potential client via email phone establish report set meeting planning overseeing new marketing initiativesnbspdeveloping sale goal team ensuring mettraining personnel helping team member develop skillsnbspdesired candidate profile strong communication fluency creative talent ability solve tough problem indepth knowledge industry current event ability handle pressure meet deadline skill prioritizing triaging obligation attention detail excellent time management organizationjob location noida development sale management business business development management,Sales
marketing sale,Sales
hiring travel sale processoutbound sale experience requiredsalary upto inhand day workingrotational sat offsunday fixed offcontactcandidates reservation exp also apply reservation process hiring sale cce travel outbound agent,Sales
voice process excellent communication skill,Operations
voice process people management hospitality management,Ticketing
ensure proper selling technique strategy utilized maximize room revenue coordinate duty responsibility reservation department ensuring high level accuracy efficiency matter may effect interest hotel brought attention management plan amp prepare forecast timely basis review plan amp prepare monthly report forecast relevant report ensure various monthly statistical report generated assist development occupancy forecast annual budget selling strategy statistical technique,Ticketing
communicating costing process improvement liaison,Operations
making reservation cr sound knowledge bsp electronic ticketing table ticketing quota system issuing reissuing,Ticketing
minimum year handson experience international air ticketing sound knowledge amp experience galileo amp amadeus knowledge making reservation cr creating pnr split queue knowledge bsp electronic ticketing table ticketing quota system issuing amp reissuing sound knowledge airline fare professional positive handling client requirement requirement must computer literate familiarity microsoft excel word outlook communication ticketing air outlook good word skill familiarity literate excel computer international microsoft,Ticketing
sale bpo voice process bpo sale sale ate sale travel consultant international bpo travel executive tourism executive,Ticketing
good knowledge visa passp mality,Ticketing
marketing tour sale pune counselor group travel agency wildlife adventure trekking package,Marketing
operation marketing tour sale pune counselor group lead travel agency wildlife manager adventure trekking package camp,Marketing
company essentially look people good communication skill work effectively team someone passion performexperiencenbsp required min year tour amp tourismmice hotel industrysalary bracket constrain right candidatejob rolewill responsible generating business lead company via cold call reference call sharing presentation corporates responsible sale conversion sell air ticket fitmicegroup movement attending appointment amp giving appropriate product presentation amp converting sale meet defined target time time ensure smooth function query coordination operation amp contracting teamnbspcandidates whose previous employment company sell international sim card also applynbspthanks regardsshraddha pawarhr associate marketing mouse management sale development mouse sale office business,Sales
need qatar valid license driver american school dohathey picking amp dropping school kid amp driving safely rule amp regulationsthey drive seater nissan civilian driver hindi arabic english office,Ticketing
prospect potential new clientsta turn increased businesso cold call appropriate within market geographic area ensure robust pipeline opportunitieso meet potential client growing maintaining leveraging networko identify potential client decision maker within client organizationo research build relationship new clientso set meeting client decision make opayrsquos patie leades principalso plan approach pitcheso wok ith tea deelop poposals speaks lietrsquos eeds oes ojetieso participate pricing solutionserviceo handle objection clarifying emphasizing agreement working difference positive conclusiono use variety style persuade negotiate appropriatelyo present image mirror client marketing management sale development channel business,Sales
sale amp marketing executivepreferably male candidate sale marketing filed year amp knack work amp service client independentlynbspjob description monthly salary kkincentives performance linked incentivesnbsp conveyance per company policy location district centre janakpurinbsp experience experiencednbsp marketing sale travel process domestic ticketing international ticketing sale head business development,Sales
urgent opening marketing executivesalary job description outside sale need convenience customermale candidate wantedlanguage known englishtamilcontact person kalaivani experience required fresher experiencenbspjob type day shiftjob location chennai onlynbsp marketing management,Presales 
dear candidategreetingsshiva job service fbdwe urgent hiring telecallerjob location gurgaongood communicationfresher amp experience applysal depend interviewcontact apply job asapnbspthanks amp regardsbhawana gupta hiring english customer service office skill voice,Customer service
sale business development,Sales
business development sale client acquisition lead generation generating lead,Sales
content writer technical writer creative writer content developer,Content
seo sem internet marketing digital marketing social medium marketing adw online marketing,Digital Marketing
business development sale client acquisition lead generation generating lead,Sales
operation operation management operation management operation operation manager,Operations
seo sem internet marketing digital marketing social medium marketing adw online marketing,Digital Marketing
content writer technical writer creative writer content developer,Content
good experience revit software tool,Maintenance
arsenius skill capital leading travel mnc direct company payrollwe hiring globally renowned travel mnccompany profile hiring reputed multi national travel company catering domestic international clientspositions travel consultantlocationnbspgurgaon noida bangaloreremuneration nbsplac panbspinterested candidate call alister send resume mail may benefitarsenius skill capital routing skill opportunitiesnbsp implant executive amadeus travel consultant corporate travel travel executive galileo travel agent travel counselor ticketing executive international ticketing,Ticketing
talent hunter manpower solution hiring tour travel companyposition senior manager product contracting leisure outboundjob loc mumbai fortexperience year senior global contracting product designing portfoliocost negotiablecriteria specialtiesnbspfor europe usamiddot sound destination knowledge europe america africa middle east indian ocean orient china japan koreamiddot efficient communicatornbspacross partner destination management company tourism board internal external client sale team stakeholdersmiddot planning forecasting ability plan set product solution end end ability foresee forecast direct business consequence actionsmiddot innovationnbspunderstand specific need global office nbspand create competitive contemporary winning productsmiddot leadershipnbspdisplay ability lead front deliver team responsibility independentlyregardspinky forecasting sound knowledge efficient destination planning leadership innovation communicator,Ticketing
arsenius skill capital hiringdepartment group ticketing amp reservationslocation mumbaictc nbsplac panbspminimum month experience international reservation group fit package ticketing car hotel related activitiesmust gd gal amadeus sabre knowledge trained certified preferably iata certifiedthis position responsible followingoslash create reservation ticket issuance gd commandsentries group fit travelersoslash knowledge queue management revalidation reissue cancellation refundsoslash fare comparison drive saving low pricing wherever applicableoslash able review audit fare requiredoslash exposure car hotel booking using gdsoslash ensure compliance adherence processoslash willingness work shift occasionally able stretch long odd hour requiredmanage operation flooroslash ensuring availability staff maintained oslash ensuring critical process level metric placeoslash conduct new hire training existing processesoslash attending operational quality meeting per client scheduleoslash mentor assist new hire teamoslash report deviation act accordinglyoslash proactively inform manager challenge facedknowledge person must knowoslash able demonstrate command domain provide timely resolution issuesoslash ability demonstrate skill knowledge domain specific application gdsoslash understanding various product combination demonstrated ability achieve customer satisfactionoslash demonstrated ability generate mi analytics business decision makingoslash sound knowledge excel email communicationoslash strong oral written english communication skill required interact internal external clientsinterested applicant call angee share resume galileo iata gd ticketing amadeus amendment group refund reservation cancellation international booking,Ticketing
arsenius skill capital hiring leading travel mncnbspasst managermanager ndash online productslocation mumbaictc upto lac padesignation assistant manager managerdepartment online productsdesired candidate profilecandidates online travel portal otp managing domestic amp international destination product operation onlinejob descriptionmiddot monitor performance holiday webmiddot coordinate analytics team gauge performancemiddot conduct research competition explore new avenue growthmiddot liaise product requirementsmiddot coordination content team product upload launchesmiddot product designing contractingmiddot drive demand product monitor campaignsnbspinterested applicant call angee ndash send resume operation ota management sale development customer social medium marketing service business travel online branding otp product online web product content strategy,Ticketing
fnbspemale tour package paharganj delhiexperience required jobnbspnbspexperience yearsannual salary jobnbsp nbspnbsptonbspnbspjob locationnbsp pahaganj area delhijob descriptionnbspposition nbsptour package executivequalification graduationno vacancy skill requirednbspvery good communication skillteam building amp team managementfrom tour package executive background year experience preferleadership skillsresponsible towards work allocationsalary offeredsalary nbsp venuedelhi center delhi warm regardspawan sharmasr operation communication administration sale customer office service tour operation domestic tourism,Sales
job description desired candidate profileonly female candidate required script marketing writing designing seo editing web content management web content writer content development content messaging content writing writing web,Digital Marketing
describe different visa application process benefit special offer client identify correct prospect according eligibility standard amp convert sale establish maintain current client potential client relationship regular follow inquiry received identify resolve query amp handling objection client maximum achievement goal service level effective pipeline management able achieve monthly targetany added responsibility assigned superior enhance ability inhouse sale telecaller immigration consultant student counsellor education counsellor counsellor telesales academic counsellor immigration counselor tele counseling visa counsellor visa consultant,Sales
managing end endrecruitment screening resume aligning interview coordinating candidate recruitmentthrough various modern technology job portal employee reference monitoring prejoining formality till joining conducting interview salary negotiation onboarding amp induction executive recruiter,Recruitment
immigration consultant sale consultantwe seeking hire ambitious enthusiastic dynamic result oriented professional sale experience fill sale consultant position opportunity promoted consultantassistant process short span timeexcellent incentive schemequick growth opportunity right talentsknowledge enhancing profilejob responsibilitydescribe different visa application process benefit special offer clientsidentify correct prospect according eligibility standard amp convert saleestablish maintain current client potential client relationshipsregular follow enquiry receivedidentify resolve query amp handling objection clientsmaximum achievement goal service levelseffective pipeline managementable achieve monthly targetany added responsibility assigned superior enhance abilitydesired candidate profileexcellent communication convincing amp analytics skillsability demonstrate professional courteous mannerstrong selling amp negotiation skillssales focused result orientated amp able work pressurepleasing personalitysales professional immigration background also preferredonly male candidate requiredworking location new friend colony client call lead generation sale executive tele caller sale consultant immigration consultant tele calling telesales bpo call centre call center inside sale outbound call,Sales
post business development amp marketinglocationnbspvikhroli mumbaiqualification graduateexperience yearssalary depend upon experiencekindly find company detailwadalas belowname corporate kruzo corporate travel solutionsno employee weekly per company rulesbonus per company rulespf per company rulesmediclaim per company rulescl monthsappraisal per performance regular intervalsdistance station min walking distanceemployees rating star starts_ rating given employee currently working company _nbspwe permanent job opening call back immediately email immediately marketing development business,Sales
dear candidatelet internet earn income suitable time potential work promote worldwide travel amp tourism help free online tool list web site tool provided company job done full time parttime basis start job part india infrastructure available like computer laptop internetfor detail contact usreagardslaxmikantsenior executive communication skill basic computer knowledge,Ticketing
designing package end end handling departure,Back office ticketing
ticketing knowledge good communication skill,Customer service
digital marketing responsibility planning,Digital Marketing
good account hiring mouse vertical,Finance
sale business development,Sales
sale business development,Sales
sale business development,Sales
software developer programming design,IT
sale business development,Sales
sale business development,Sales
sale business development,Sales
sale business development,Sales
hiring mouse international operation end end handling departure,Back office ticketing
relationship management costing budget management,Marketing
ate event king brand building event existing new client,Sales
sale business development,Sales
sale business development,Sales
sale business development,Sales
design budgetary control managing digital marketing,Digital Marketing
sale business development,Sales
good visualization skill ability tough timeline,Marketing
warding incoming answering,Administration
sale business development,Sales
soft spoken goodcommunication incoming phonecalls,Administration
sale business development,Sales
air rail ticket international domestic sect destination,Ticketing
marketing business development,Marketing
finance account,Finance
dear candidate urgent opening profile nbsptour amp package operator location tilak nagar candidate knowledge tour package softwarecandidate good english spokenexperience year yearnbspsalary query please contact meenakshi mail management tourism ticketing operator tour package,Ticketing
